Id,SalePrice
2658,128219.4931010826
2718,159470.19204248476
2414,228380.35450317833
1989,115866.68490528481
625,187793.97019677697
333,83894.28945375564
1327,101273.16742525442
858,148161.7037646834
95,170544.20108013353
1568,164765.65134073625
2482,151879.6506877297
1364,118325.68140338745
2584,148491.37712324393
818,264486.66965016833
2673,150480.67612835031
2089,126958.34094003236
1297,163748.21286425876
790,118121.16665721944
2616,192488.60100242222
720,201104.5873387743
222,155263.16484840552
557,134069.83191914114
1148,179471.30518778187
2766,172977.1848385497
534,181846.72528100308
1452,119765.48589780703
630,133892.6018515675
2648,136393.18962819496
125,174785.74141261232
1904,53435.898132139206
1670,105737.48995821997
756,103711.34344769744
717,192910.0170179429
1032,154548.56128119482
852,223390.87691371894
1731,187551.14855594645
2639,117926.25988609262
2071,68748.10105844187
1267,132507.41092378547
1851,199166.6990116845
567,164718.87344886022
2439,213622.01795535715
1898,155299.22403844487
647,183418.77818333727
2256,207495.13994288226
979,97591.5264702971
1444,223081.2400597365
2485,126118.06848873905
157,131863.0313535001
88,119883.58106432289
2003,106205.07797655438
186,208262.54125866035
1425,234305.16374102002
2695,126100.37095426914
738,97756.43712996665
395,158149.29349439606
1353,167571.64303277413
1878,154635.77557605528
390,160819.1953874688
1456,233816.48434912722
1103,300994.14944216376
1387,108639.71492281079
2070,152302.65179325716
1199,166795.1911303402
2479,184391.52330548252
501,312273.88782065315
2362,89904.47397765517
1718,231408.29099801864
2188,87251.54910346831
1483,173618.89000046515
2557,84980.54425233894
437,342277.4587371695
2224,194362.77755734522
1628,184573.8026663867
397,139630.95223930624
587,183057.80763148752
2182,503530.73202461837
971,146070.18166408042
2611,138452.57084129596
1887,92482.46034615366
2399,374848.57346272725
2148,203644.81322072074
304,141133.3591264928
1997,139176.26849881726
2817,119557.15051157224
1431,225584.72066958947
427,351075.6543703191
263,120142.90149503131
598,170741.55915990705
2895,231318.47766884664
687,144843.26637633058
1822,137788.89199121352
2191,97233.14422553757
179,118123.52200107089
1009,261268.33792304742
2010,124435.30726918936
1991,148867.66387573557
1411,202026.8014223175
1721,252602.59096699307
1144,199227.24042071775
593,218055.11859752203
575,304223.4878361074
1249,174501.18456278634
1604,127492.63954678796
1064,437861.3834174834
1923,155945.43410059673
1988,113029.79500637384
2325,174194.54755687324
114,191476.2547974976
2700,167524.4361331397
217,126119.30993235338
343,188247.8796100327
386,226042.8182814543
2005,96418.74835220733
2908,125479.0517493846
1814,243857.2775231772
2446,442231.2939920132
208,145902.18826092346
1679,102821.70608109051
822,321865.5200335911
6,189278.73184430826
1781,362003.5020824508
2397,317545.4255782513
2340,341490.0501863057
1618,156804.39850095607
2843,169020.79788313215
1061,352987.5352791273
2786,122377.5029305738
1935,135345.15860313893
1341,130789.86567678652
521,251312.13223365665
2136,131579.0785343016
996,208119.59063507483
227,146590.54736917376
135,186963.25899815562
1167,161228.3171347445
294,230749.97653147837
1776,210831.10382400663
540,178577.90735725043
1717,243895.49483308202
2303,123709.67886466057
116,187953.07943169324
127,145486.74404513388
1371,132062.36212798627
1014,166558.84917272953
1507,93574.80813765839
702,154456.93199278915
750,148122.75949327846
261,147960.01187681523
1559,64942.66968372298
577,206917.92763604835
2812,197368.33386325315
2080,151946.9403982042
1368,116481.12854828012
2376,118943.99393722444
659,125955.605078336
1235,137230.0913725753
